doc_id,latency_sec,words_original,words_summary,compression_ratio,length_deviation_pct,rouge1_f,rouge2_f,rougeL_f,bertscore_precision,bertscore_recall,bertscore_f1,reading_ease,smog_index,avg_sentence_length,entity_jaccard,entities_src,entities_sum
001,2.7531276361551136,276,75,0.2717391304347826,9.420289855072465,0.25925925925925924,0.05660377358490567,0.20370370370370372,0.17922620475292206,0.2879936695098877,0.23298847675323486,5.067750000000018,17.971250198000288,18.75,0.0,2,0
002,3.5547784650698304,301,90,0.29900332225913623,0.33222591362125353,0.34146341463414637,0.1652892561983471,0.2764227642276423,0.2661552429199219,0.5158800482749939,0.3840888738632202,-2.1225000000000023,20.503739492662863,22.5,1.0,2,2
003,2.312926780898124,272,80,0.29411764705882354,1.9607843137254832,0.31858407079646023,0.14414414414414414,0.24778761061946902,0.27930161356925964,0.475056529045105,0.373199999332428,18.39250000000004,17.693802365651003,20.0,0.0,0,1
004,2.3530145979020745,300,86,0.2866666666666667,4.444444444444437,0.2975206611570248,0.1176470588235294,0.21487603305785122,0.2768392562866211,0.5043510794639587,0.3849727511405945,1.0566860465116577,19.78447435784618,21.5,1.0,1,1
005,2.4719320840667933,303,88,0.29042904290429045,3.190319031903181,0.26666666666666666,0.08474576271186439,0.2,0.19987422227859497,0.35762524604797363,0.27640360593795776,21.693727272727273,16.647925096878797,17.6,0.5,1,2
006,2.7737471600994468,301,79,0.26245847176079734,12.513842746400883,0.28318584070796465,0.10810810810810811,0.23008849557522124,0.19939389824867249,0.3352517783641815,0.2658160924911499,-2.758085443037942,19.287186520377343,19.75,0.0,2,0
007,2.726063192123547,265,63,0.23773584905660378,20.75471698113207,0.3736263736263736,0.22471910112359547,0.3076923076923077,0.309564471244812,0.505320131778717,0.4034958779811859,2.891428571428605,19.287186520377343,21.0,0.0,0,1
008,2.158265104983002,301,87,0.28903654485049834,3.6544850498338817,0.31932773109243695,0.11965811965811965,0.25210084033613445,0.2019415646791458,0.3928583860397339,0.29356643557548523,2.470551724137948,18.458006810337128,17.4,0.0,2,0
009,2.925446016015485,268,70,0.26119402985074625,12.935323383084581,0.29702970297029707,0.10101010101010101,0.21782178217821782,0.2519574463367462,0.4185703992843628,0.3325754404067993,5.491666666666674,19.6203779977781,23.333333333333332,0.0,1,0
010,2.0285759870894253,332,96,0.2891566265060241,3.6144578313253017,0.310077519379845,0.1574803149606299,0.26356589147286824,0.23543186485767365,0.43300458788871765,0.33009862899780273,13.74075000000002,18.026119701940384,19.2,0.0,2,0
011,2.3796513290144503,277,81,0.2924187725631769,2.5270758122743673,0.24347826086956517,0.05309734513274336,0.19130434782608696,0.18943162262439728,0.3384779989719391,0.26195356249809265,1.4145833333333542,18.511140095513987,20.25,0.3333333333333333,2,2
012,2.7334522851742804,302,84,0.2781456953642384,7.284768211920534,0.31034482758620685,0.15789473684210525,0.25862068965517243,0.22907370328903198,0.44697487354278564,0.3328397870063782,11.51871428571431,17.122413403193683,16.8,1.0,2,2
013,2.4036555751226842,271,78,0.2878228782287823,4.059040590405905,0.34545454545454546,0.16666666666666669,0.27272727272727276,0.2490711361169815,0.421295702457428,0.33225369453430176,-3.8498076923076496,19.78447435784618,19.5,1.0,1,1
014,3.32021865202114,303,78,0.25742574257425743,14.191419141914185,0.3669724770642202,0.18691588785046728,0.29357798165137616,0.31967973709106445,0.5163264870643616,0.41402488946914673,5.9117307692308145,19.032712561301913,19.5,1.0,1,1
015,2.401862633880228,307,80,0.26058631921824105,13.137893593919648,0.2857142857142857,0.10909090909090907,0.21428571428571427,0.24764400720596313,0.42031657695770264,0.33103033900260925,6.590000000000032,17.80541091248751,16.0,0.5,1,2
016,2.682102665072307,304,89,0.29276315789473684,2.4122807017543844,0.31666666666666665,0.15254237288135591,0.26666666666666666,0.26207205653190613,0.5398451089859009,0.3922395706176758,3.6445084269663255,19.287186520377343,22.25,0.5,2,1
017,2.292786668986082,264,65,0.24621212121212122,17.929292929292924,0.35051546391752575,0.21052631578947364,0.26804123711340205,0.21767958998680115,0.3924892544746399,0.3020186722278595,-1.2766666666666708,19.946969662950774,21.666666666666668,1.0,0,0
018,3.0707901779096574,302,80,0.26490066225165565,11.699779249448113,0.37500000000000006,0.23636363636363633,0.30357142857142855,0.28641214966773987,0.5139802694320679,0.3945887088775635,5.702500000000015,18.511140095513987,20.0,0.3333333333333333,2,2
019,2.50639438489452,268,61,0.22761194029850745,24.129353233830848,0.3516483516483517,0.17977528089887643,0.2857142857142857,0.29321637749671936,0.4468196630477905,0.36786624789237976,13.834938524590171,16.52667757954773,15.25,0.0,1,0
020,2.8326832777820528,332,99,0.29819277108433734,0.602409638554217,0.2835820895522388,0.1515151515151515,0.2537313432835821,0.23369231820106506,0.5238478183746338,0.3691022992134094,3.8652727272727248,18.878054631974784,19.8,0.6666666666666666,2,3
021,2.7903792879078537,278,80,0.28776978417266186,4.076738609112711,0.30357142857142855,0.09090909090909091,0.23214285714285715,0.2312186360359192,0.44661420583724976,0.33387094736099243,10.820000000000022,17.122413403193683,16.0,0.3333333333333333,2,2
022,3.454365392914042,300,88,0.29333333333333333,2.2222222222222183,0.3089430894308943,0.11570247933884299,0.22764227642276427,0.22405031323432922,0.35359063744544983,0.2875317335128784,11.211969696969732,16.32212239822248,14.666666666666666,0.0,2,0
023,3.7406063189264387,273,67,0.2454212454212454,18.192918192918196,0.36893203883495146,0.21782178217821782,0.2912621359223301,0.20951701700687408,0.3841259777545929,0.29375845193862915,4.865174129353278,19.6203779977781,22.333333333333332,1.0,0,0
024,3.453108251094818,299,81,0.2709030100334448,9.698996655518396,0.38596491228070173,0.23214285714285715,0.3333333333333333,0.26674047112464905,0.5434795022010803,0.3964751958847046,-1.71875,19.53771442962202,20.25,1.0,1,1
025,2.6189459098968655,305,79,0.25901639344262295,13.661202185792348,0.2956521739130435,0.1415929203539823,0.24347826086956517,0.2416917085647583,0.4664474129676819,0.34853217005729675,1.525458860759528,19.287186520377343,19.75,0.5,1,2
